shape,parent id,parent name,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Freedom Party,Merab Kostava Society,Labour Council of Georgia,Labour,Georgian Dream,Ioseb Manjavidze,Zviad Chitishvili,Roman Robakidze,Zurab Mskhvilidze
Country,,,Georgia,Georgia,71714,33.7983,9.4431,0.0195,17.1124,0.1283,0.0795,0.0641,0.2412,1.7193,55.2542,7.0809,6.2707,1.0472,1.5394
Region,Georgia,Georgia,Imereti,Imereti,32489,45.2985,0,0.0431,19.5328,0.2216,0.0739,0,0.1231,0,74.2959,0,0,2.3116,3.3981
Region,Georgia,Georgia,Tbilisi,Tbilisi,39225,27.9261,17.2645,0,15.1077,0.051,0.0841,0.1173,0.3391,3.1434,39.4825,12.9458,11.4646,0,0
District,Imereti,Imereti,52,Bagdati,11285,48.3091,0,0.1241,21.1165,0.3456,0.0443,0,0.1241,0,61.8077,0,0,6.6549,9.7829
District,Imereti,Imereti,54,Samtredia,21204,43.8443,0,0,18.6899,0.1556,0.0896,0,0.1226,0,80.9423,0,0,0,0
District,Tbilisi,Tbilisi,999,Tbilisi,39225,27.9261,17.2645,0,15.1077,0.051,0.0841,0.1173,0.3391,3.1434,39.4825,12.9458,11.4646,0,0
Precinct,52,Bagdati,1,52-1,556,45.4248,0,0.8993,13.3094,0.1799,0.1799,0,0,0,69.0647,0,0,6.6547,9.7122
Precinct,52,Bagdati,2,52-2,538,52.0813,0,0,20.8178,0.1859,0,0,0,0,37.5465,0,0,36.803,4.6468
Precinct,52,Bagdati,3,52-3,506,49.2218,0,0,19.7628,0.3953,0,0,0.5929,0,60.2767,0,0,12.0553,6.917
Precinct,52,Bagdati,4,52-4,461,41.3082,0,0,21.692,0,0.2169,0,0.2169,0,60.9544,0,0,4.9892,11.9306
Precinct,52,Bagdati,5,52-5,488,45.3532,0,0,48.3607,0.4098,0,0,0.2049,0,42.418,0,0,4.5082,4.0984
Precinct,52,Bagdati,6,52-6,394,40.829,0,0.7614,30.9645,0.2538,0,0,0,0,59.8985,0,0,2.0305,6.0914
Precinct,52,Bagdati,7,52-7,252,42.5676,0,0,18.6508,0.3968,0,0,0.3968,0,46.4286,0,0,9.5238,24.6032
Precinct,52,Bagdati,8,52-8,472,48.46,0,0,20.9746,0,0,0,0,0,68.6441,0,0,3.8136,6.5678
