shape,parent_common_id,parent_common_name,common_id,common_name,Average age of registered voters,Numbers of voters over 99 years old,Number of voters between 85 and 99 years old,Total Voters,Number of potential voter duplications
Country,\N,\N,Georgia,Georgia,46.8227094853,612,58319,3536921,3717
Region,Georgia,Georgia,Adjara,Adjara,44.1693776433,85,3572,304868,685
Region,Georgia,Georgia,Guria,Guria,48.2219311321,24,2351,113017,133
Region,Georgia,Georgia,Imereti,Imereti,47.8418758928,64,10321,558298,598
Region,Georgia,Georgia,Kakheti,Kakheti,47.1472766658,44,6147,313401,233
Region,Georgia,Georgia,Kvemo Kartli,Kvemo Kartli,45.6376080797,112,5843,407035,390
Region,Georgia,Georgia,Mtskheta-Mtianeti,Mtskheta-Mtianeti,48.01069671,20,1631,87948,81
Region,Georgia,Georgia,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,53.8780961311,9,1332,36519,42
Region,Georgia,Georgia,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,47.5779995256,95,6959,361645,285
Region,Georgia,Georgia,Samtskhe-Javakheti,Samtskhe-Javakheti,45.6737660626,20,2671,151381,124
Region,Georgia,Georgia,Shida Kartli,Shida Kartli,46.3458493702,26,3676,238472,246
Region,Georgia,Georgia,Tbilisi,Tbilisi,46.2632576508,113,13816,964337,900
District,Adjara,Adjara,79,Batumi,44.5098709109,32,1539,133276,224
District,Adjara,Adjara,80,Keda,44.2976195987,9,235,15710,49
District,Adjara,Adjara,81,Kobuleti,44.3588186317,16,739,69185,129
District,Adjara,Adjara,82,Shuakhevi,44.5275473074,8,286,15164,34
District,Adjara,Adjara,83,Khelvachauri,43.1768258697,5,411,47304,95
District,Adjara,Adjara,84,Khulo,43.6957017137,15,362,24229,154
District,Guria,Guria,60,Ozurgeti,47.6319352189,11,1176,64116,63
District,Guria,Guria,61,Lanchkhuti,48.1716051105,8,702,30076,43
District,Guria,Guria,62,Chokhatauri,49.2193558565,5,473,18825,27
District,Imereti,Imereti,48,Kharagauli,49.4345093912,0,592,20325,28
District,Imereti,Imereti,49,Terjola,48.3210198685,9,848,34806,36
District,Imereti,Imereti,50,Sachkhere,46.7850293284,6,781,44401,51
District,Imereti,Imereti,51,Zestaponi,47.5154719709,5,1062,56510,64
District,Imereti,Imereti,52,Bagdati,48.4813514585,8,540,23321,27
District,Imereti,Imereti,53,Vani,49.3116021436,7,768,26802,39
District,Imereti,Imereti,54,Samtredia,47.9688946941,8,928,48081,47
District,Imereti,Imereti,55,Khoni,48.6929010757,5,524,24188,14
District,Imereti,Imereti,56,Chiatura,48.2609452397,6,1046,45081,66
District,Imereti,Imereti,57,Tkibuli,50.4823244695,1,621,23629,25
District,Imereti,Imereti,58,Tskaltubo,48.1597797977,3,897,52652,37
District,Imereti,Imereti,59,Kutaisi,45.9498802824,6,1714,158502,164
District,Kakheti,Kakheti,11,Sagarejo,45.6056506835,15,846,46089,16
District,Kakheti,Kakheti,12,Gurjaani,48.335033729,4,1124,55265,40
District,Kakheti,Kakheti,13,Signagi,49.0958653503,2,821,31661,24
District,Kakheti,Kakheti,14,Dedoplistskaro,47.7344248814,5,632,23064,27
District,Kakheti,Kakheti,15,Lagodekhi,45.8926163634,6,605,39718,53
District,Kakheti,Kakheti,16,Kvareli,46.8868240372,2,541,29611,23
District,Kakheti,Kakheti,17,Telavi,46.9507250422,6,956,57109,36
District,Kakheti,Kakheti,18,Akhmeta,46.9955362211,4,622,30884,14
District,Kvemo Kartli,Kvemo Kartli,20,Rustavi,44.8170845464,8,1129,108325,124
District,Kvemo Kartli,Kvemo Kartli,21,Gardabani,44.5399493038,16,859,74718,60
District,Kvemo Kartli,Kvemo Kartli,22,Marneuli,43.5410504,34,1065,98158,94
District,Kvemo Kartli,Kvemo Kartli,23,Bolnisi,44.4366208987,20,807,57959,67
District,Kvemo Kartli,Kvemo Kartli,24,Dmanisi,47.1915909979,8,404,22809,16
District,Kvemo Kartli,Kvemo Kartli,25,Tsalka,49.1042645181,19,823,23495,16
District,Kvemo Kartli,Kvemo Kartli,26,Tetritskaro,49.5791819897,7,756,21571,13
District,Mtskheta-Mtianeti,Mtskheta-Mtianeti,19,Tianeti,49.1631013259,3,320,11123,9
District,Mtskheta-Mtianeti,Mtskheta-Mtianeti,27,Mtskheta,45.9972568502,5,604,44623,29
District,Mtskheta-Mtianeti,Mtskheta-Mtianeti,28,Dusheti,49.4018499996,12,627,26426,34
District,Mtskheta-Mtianeti,Mtskheta-Mtianeti,29,Kazbegi,46.9905664407,0,80,5776,9
District,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,43,Oni,58.3677803055,1,297,6695,9
District,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,44,Ambrolauri,55.9079040931,3,453,11952,7
District,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,45,Tsageri,52.2637476089,1,426,11894,23
District,Racha-Lechkhumi and Kvemo Svaneti,Racha-Lechkhumi and Kvemo Svaneti,46,Lentekhi,49.000820427,4,156,5978,3
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,47,Mestia,47.7672897248,9,293,8508,7
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,63,Abasha,48.3860548098,4,518,21954,18
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,64,Senaki,47.7747407775,8,747,42644,30
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,65,Martvili,48.2199200063,11,826,34498,25
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,66,Khobi,47.3323989018,9,502,29398,24
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,67,Zugdidi,47.4917327182,32,2386,128114,93
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,68,Tsalenjikha,47.7474817813,9,713,31914,43
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,69,Chkhorotsku,47.832934228,11,464,23061,17
District,Samegrelo-Zemo Svaneti,Samegrelo-Zemo Svaneti,70,Poti,45.8619866408,2,510,41554,28
District,Samtskhe-Javakheti,Samtskhe-Javakheti,36,Borjomi,47.0286085594,1,515,27532,47
District,Samtskhe-Javakheti,Samtskhe-Javakheti,37,Akhaltsikhe,47.0410108233,6,707,35098,38
District,Samtskhe-Javakheti,Samtskhe-Javakheti,38,Adigeni,45.4557063012,2,262,15650,14
District,Samtskhe-Javakheti,Samtskhe-Javakheti,39,Aspindza,46.2693035528,1,192,9883,15
District,Samtskhe-Javakheti,Samtskhe-Javakheti,40,Akhalkalaki,45.1945762448,5,663,40485,8
District,Samtskhe-Javakheti,Samtskhe-Javakheti,41,Ninotsminda,43.8757704834,5,332,22733,2
District,Shida Kartli,Shida Kartli,30,Kaspi,47.6170821871,5,779,40224,24
District,Shida Kartli,Shida Kartli,32,Gori,45.7584712654,7,1536,110340,86
District,Shida Kartli,Shida Kartli,33,Kareli,46.4230538514,7,591,37610,34
District,Shida Kartli,Shida Kartli,35,Khashuri,46.5563158567,7,770,50298,102
District,Tbilisi,Tbilisi,999,Tbilisi,46.2632576508,113,13816,964337,900
Precinct,11,Sagarejo,1,11-1,47.4695290859,1,13,722,2
Precinct,11,Sagarejo,2,11-2,47.93599335,0,34,1203,0
Precinct,11,Sagarejo,3,11-3,48.3605980651,0,29,1137,0
Precinct,11,Sagarejo,4,11-4,47.6603098927,0,17,839,0
Precinct,11,Sagarejo,5,11-5,46.6431654676,0,19,695,0
Precinct,11,Sagarejo,6,11-6,46.6540247678,0,22,1292,0
Precinct,11,Sagarejo,7,11-7,43.8215384615,0,5,975,0
Precinct,11,Sagarejo,8,11-8,45.2652210175,0,14,1199,0
Precinct,11,Sagarejo,9,11-9,46.29406037,0,17,1027,0
Precinct,11,Sagarejo,10,11-10,44.9813359528,0,13,1018,0
Precinct,11,Sagarejo,11,11-11,47.5281146637,1,30,907,0
Precinct,11,Sagarejo,12,11-12,51.4965034965,0,8,286,1
Precinct,11,Sagarejo,13,11-13,51.125698324,0,19,358,0
Precinct,11,Sagarejo,14,11-14,48.7476780186,1,33,1292,1
Precinct,11,Sagarejo,15,11-15,47.0663900415,0,21,964,0
Precinct,11,Sagarejo,16,11-16,47.7142857143,0,36,1372,0
Precinct,11,Sagarejo,17,11-17,45.4456327986,0,9,561,0
Precinct,11,Sagarejo,18,11-18,47.5835380835,0,17,814,0
Precinct,11,Sagarejo,19,11-19,45.3823529412,0,19,918,1
Precinct,11,Sagarejo,20,11-20,47.7937033969,0,29,1207,0
Precinct,11,Sagarejo,21,11-21,45.5893074119,0,13,823,0
Precinct,11,Sagarejo,22,11-22,46.6063829787,0,2,94,0
Precinct,11,Sagarejo,23,11-23,48.3409090909,0,2,88,0
Precinct,11,Sagarejo,24,11-24,47.0908045977,0,26,870,0
Precinct,11,Sagarejo,25,11-25,47.1557017544,3,24,912,1
Precinct,11,Sagarejo,26,11-26,47.2086795937,2,28,1083,0
Precinct,11,Sagarejo,27,11-27,46.9462571977,0,13,521,0
Precinct,11,Sagarejo,28,11-28,48.3971722365,1,24,778,0
Precinct,11,Sagarejo,29,11-29,49.2879177378,0,32,778,1
Precinct,11,Sagarejo,30,11-30,45.9750378215,0,21,1322,1
Precinct,11,Sagarejo,31,11-31,47.4034954407,1,29,1316,2
Precinct,11,Sagarejo,32,11-32,49.5309734513,0,9,339,0
Precinct,11,Sagarejo,33,11-33,49.0204708291,0,33,977,1
Precinct,11,Sagarejo,34,11-34,46.804,0,28,1250,0
Precinct,11,Sagarejo,35,11-35,47.1936127745,0,17,501,0
Precinct,11,Sagarejo,36,11-36,45.4092009685,1,6,413,2
Precinct,11,Sagarejo,37,11-37,43.3079646018,0,5,565,0
Precinct,11,Sagarejo,38,11-38,41.4289118348,0,13,1259,0
Precinct,11,Sagarejo,39,11-39,43.5348595213,1,5,961,0
Precinct,11,Sagarejo,40,11-40,40.8934131737,0,3,835,0
Precinct,11,Sagarejo,41,11-41,41.286637931,0,11,928,0
Precinct,11,Sagarejo,42,11-42,43.5078125,1,12,1408,0
Precinct,11,Sagarejo,43,11-43,42.6487570168,0,19,1247,0
Precinct,11,Sagarejo,44,11-44,40.0306936771,2,15,1629,0
Precinct,11,Sagarejo,45,11-45,39.7828746177,0,12,1635,0
