Event	 Shape Type	 en: Indicator Name	 en: Indicator Abbrv	 en: Indicator Description	 ka: Indicator Name	 ka: Indicator Abbrv	 ka: Indicator Description	 Number Format (optional: e.g. %)	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color			
2010 Tbilisi Mayor 	District	Number of Precincts with votes per minute > 3 (08:00-12:00)	VPM 08:00-12:00	Number of Precincts with votes per minute > 3 (08:00-12:00)	ხმების რაოდენობა ერთ წუთში (08:00-12:00)	VPM 08:00-12:00	ხმების რაოდენობა ერთ წუთში (08:00-12:00)		0	0		1-2	1-2		2-4	2-4		4-6	4-6		6-8	6-8		8-10	8-10		>10	>10																			
2010 Tbilisi Mayor 	District	Number of Precincts with votes per minute > 3 (12:00-17:00)	VPM 12:00-17:00	Number of Precincts with votes per minute > 3 (12:00-17:00)	ხმების რაოდენობა ერთ წუთში (12:00-17:00)	VPM 12:00-17:00	ხმების რაოდენობა ერთ წუთში (12:00-17:00)		0	0		1-2	1-2		2-4	2-4		4-6	4-6		6-8	6-8		8-10	8-10		>10	>10																			
2010 Tbilisi Mayor 	District	Number of Precincts with votes per minute > 3 (17:00-20:00)	VPM 17:00-20:00	Number of Precincts with votes per minute > 3 (17:00-20:00)	ხმების რაოდენობა ერთ წუთში (17:00-20:00)	VPM 17:00-20:00	ხმების რაოდენობა ერთ წუთში (17:00-20:00)		0	0		1-2	1-2		2-4	2-4		4-6	4-6		6-8	6-8		8-10	8-10		>10	>10																			
2010 Tbilisi Mayor 	District	Total Turnout (%)	TT%	Total Turnout (%)	სულ (%)	სულ%	სულ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Total Turnout (#)	TT#	Total Turnout (#)	სულ (#)	სულ#	სულ (#)		0	0		0-5000	0-5000		5000-10000	5000-10000		10000-15000	10000-15000		15000-20000	15000-20000		20000-25000	20000-25000		>25000	>25000																			
2010 Tbilisi Mayor 	District	Vote share Davit Iakobidze (%)	Iakobidze	Vote share Davit Iakobidze (%)	დავით იაკობიძე (%)	იაკობიძე	დავით იაკობიძე (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Gigi Ugulava (%)	Ugulava	Vote share Gigi Ugulava (%)	გიგი უგულავა (%)	უგულავა	გიგი უგულავა (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Giorgi Chanturia (%)	Chanturia	Vote share Giorgi Chanturia (%)	გია ჭანტურია (%)	ჭანტურია	გია ჭანტურია (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Giorgi Laghidze (%)	Laghidze	Vote share Giorgi Laghidze (%)	გიორგი ლაღიძე (%)	ლაღიძე	გიორგი ლაღიძე (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Giorgi Topadze (%)	Topadze	Vote share Giorgi Topadze (%)	გოგი თოფაძე (%)	თოფაძე	გოგი თოფაძე (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Irakli Alasania (%)	Alasania	Vote share Irakli Alasania (%)	ირაკლი ალასანია (%)	ალასანია	ირაკლი ალასანია (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Nikoloz Ivanishvili (%)	Ivanishvili	Vote share Nikoloz Ivanishvili (%)	ნიკოლოზ ივანიშვილი (%)	ივანიშვილი	ნიკოლოზ ივანიშვილი (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Tamaz Vashadze (%)	Vashadze	Vote share Tamaz Vashadze (%)	თამაზ ვაშაძე (%)	ვაშაძე	თამაზ ვაშაძე (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Tbilisi Mayor 	District	Vote share Zviad Dzidziguri (%)	Dzidziguri	Vote share Zviad Dzidziguri (%)	ზვიად ძიძიგური (%)	ძიძიგური	ზვიად ძიძიგური (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
